,Topic,Count,Name,Representation,Representative_Docs
292,291,33,291_1745_1748_1740_1743,"['1745', '1748', '1740', '1743', 'emmer', '1747', '1741', 'und1745', 'leipzic', 'em']","['1745.', '1745.', '1745.']"
293,292,33,292_landesfürstl_landsfürstl_camm_grossfürstl,"['landesfürstl', 'landsfürstl', 'camm', 'grossfürstl', 'palatinal', 'marktrath', 'einhebung', 'gouverneur', 'ausmachte', 'whitehall']","['Von des landesfürstl.', 'Von des landesfürstl.', 'Von des landesfürstl.']"
294,293,33,293_gestorbenen_testaments_denzstadt_resi,"['gestorbenen', 'testaments', 'denzstadt', 'resi', 'terlassung', 'erfolgen', 'rechtsgrunde', 'rechtlich', 'einantwortung', 'magistrate']","['Vor dem Magistrate der   Haupt und Resi denzstadt Wien haben alle jene, welche an die Verlassenschaft des am  May   mit Hin terlassung eines Testaments gestorbenen Martin Sattler, Handlungsdiener, entweder als Erben, oder als Gläubiger, und überhaupt aus was im mer für einem Rechtsgrunde einen Anspruch zu machen gedenken, zun Anmeldung desselben den  Oc tober   vormittags um 10 Uhr persönlich, oder durch einen Bevollmächtigten zu erscheinen; wi drigens nach Verlauf dieser Zeit die Abhandlung und Einantwortung derselben Verlassenschaft an den jenigen, welcher sich hierzu rechtlich wird ausgewie sen haben, ohne weiters erfolgen wird.', 'Vor dem Magistrate der   Haupt und Resi denzstadt Wien haben alle jene, welche an die Verlassenschaft der den  August   ohne Hin terlassung eines Testaments gestorbenen Frau Ka tharina Konti, Someliers Ehegattin, enweder als Erben, oder als Gläubiger, und überhaupt aus was immer für einem Rechtsgrunde einen Anspruch zu machen gedenken, zur Anmeldung desselben den  November   vormittags um 10 Uhr persönlich, 4 2934| oder durch einen Bevollmächtigten zu erscheinen; widrigens nach Verlauf dieser Zeit die Abhandlung und Einantwortung derselben Verlassenschaft, an denjenigen, welcher sich hierzu rechtlich wird aus gewiesen haben, ohne weiters erfolgen wird.| Convoc.', 'Vor dem Magistrate der   Haupt und Resi denzstadt Wien haben alle jene, welche an Verlassenschaft der den  August   ohne Hin terlassung eines Testaments gestorbenen Frau Ka tharina Konti, Someliers Ehegattin, entweder als Erben, oder als Gläubiger, und überhaupt aus was immer für einem Rechtsgrunde einen Anspruch zu machen gedenken, zur Anmeldung desselben den  November   vormittags um 10 Uhr persönlich, oder durch einen Bevollmächtigten zu erscheinen; widrigens nach Verlauf dieser Zeit die Abhandlung und Einantwortung derselben Verlassenschaft, an denjenigen, welcher sich hierzu rechtlich wird aus gewiesen haben, ohne weiters erfolgen wird.| Convoc.']"
295,294,33,294_amtskanzley_freyherrl_schwadorf_amts,"['amtskanzley', 'freyherrl', 'schwadorf', 'amts', 'bestandskontract', 'licit', 'scheinen', 'kanzley', 'tragt', 'dortiger']","['Amtskanzley zu erscheinen haben.| Licit.', 'Amtskanzley zu erscheinen haben.| Licit.', 'Amtskanzley zu erscheinen.| Licit.']"
296,295,33,295_stimmen_kongress_mehrheit_kongresse,"['stimmen', 'kongress', 'mehrheit', 'kongresse', 'repräsentirten', 'repräsentazion', 'congress', 'terhandlung', 'provinzen', 'kolo']","['Die Oppositionsparthey äus serte: Es wäre bey itzigen Zeitläuften nicht rathsam neue Taxen zu bewilligen; dieser Satz wurde aber von einigen, für die Regierung gutgesinnten Parlements gliedern scharf widerlegt, und bey Samm tung der Stimmen fand man 170 bey pflichtende, und blos 47 widersprechende Stimmen,alsodassgleichanfänglichei neMehrheitvon123Stimmenwider die Regierung sich ergab.', '1783, und dem  Aprils 1784 ausdrücklich zur Abstel lung dieses Misbrauchs gemacht hat; und da durch den Mangel einer hinläng lichen Repräsentazion die wichtigsten An gelegenheiten der vereinigten Staaten ost vernachlässigt, und verzögert worden sind und noch werden; und da die Kon föderazion selbst, oder der Kongress, der die Verwaltung derselben auf sich hat als die Ursachen des Uibels angesehen wer den könnte, das doch nur aus einer un vollkommenen Repräsentazion entspringt; und da dem Kongresse daranliegt, die Meinungen, die seiner Ehre nachtheilig.', 'Der Präsident von der Woche giebt den fremden Gesandten Audienz, eröffnet die einlauffende De pechen, Memorialien und Bittschriften, trägt die Angelegenheiten der Versammlung vor, sammlet die Stimmen und fertigt die Schlüsse  Die Mehrheit der Stimmen gilt blos, wenn von schon vorhandenen Gesetzen die Rede ist; wenn neue eingeführt, oder Krieg, Friede und Bündnisses beschlossen werden sollen, müssen alle  Stim den vereinigt seyn; wiewohl auch diese Regel in dringenden Fällen eine Ausnahme leidet.']"
297,296,33,296_uber_urthl_zang_glüender,"['uber', 'urthl', 'zang', 'glüender', 'bekantnuss', 'zwick', 'uberfuhr', 'jspahan', 'fluss', 'nachfolgendes']","['Uber diesen Fluss setzte das sämtliche Fuss volk in Schlacht ordnung mit dem besten Willen.', 'Uber das hatte Chur Mayntz weiters fortgefahren: GOtt!', 'Diese seine begangene schwere Misshandlung seye ihme von Hertzen leyd be fehle sich hierüber GOtt der Obrigkeit und erwarte ein gnädiges Urthl: Uber diese seine gethane und anjetzo frey offen wiederholte Bekantnuss ist ihme nachfolgendes Urthl geschöpfft und von der hohen Lands Fürstlichen Obrigkeit be stättiget worden dass ihn Michael Rabenbauer der Freymann von dem Huetstock alsobalden übernehmen von dannen auff den hohen Wagen setzen und ihme bey dem Stock am Eisen einen Zwick mit glüender Zang in die rechte Brust: sodann vor dem Cärntner Thor gegen Vorweiss und Erinnerung des Orths der also grau samb verübten Mordthat wiederumb einen Zwick mit glüender Zang in die lincke Brust geben folgends zu dem Räder Creutz an die gewöhnliche Richtstatt geführt allda mit dem Rad oben herab vom Leben zum Todt hingerichtet der Cörper in das Rad geflochten und auffgesteckt auch ein Galgen mit dem Strang darüber gemacht werden solle; Dieses ihme zu wohl verdienter Straff andern aber seines gleichen zum erspieglenden Exempel und Abscheu; GOtt seye seiner armen Seel gnädig und barmhertzig.']"
298,297,32,297_monsig_mons_trouvent_chez,"['monsig', 'mons', 'trouvent', 'chez', 'monsr', 'il', 'aaguessau', 'entkleidet', 'darwar', 'monsignorscoti']","['der neue Monsig.', 'Es ist mit einem von dem Monsig.', 'Die  Monsig.']"
299,298,32,298_fürstl_grast_des_von,"['fürstl', 'grast', 'des', 'von', 'dahin', 'dem', 'durchl', 'ihrer', 'vom', 'bis']","['Von des fürstl.', 'Von des fürstl.', 'Von des fürstl.']"
300,299,32,299_1796_ungeb_change_florins,"['1796', 'ungeb', 'change', 'florins', 'citat', 'grafeneck', 'junius', 'wirths', '1797', 'märz']","['1796.', '1796.', '1796.']"
301,300,32,300_winterm_wintermon_winter_eisfelders,"['winterm', 'wintermon', 'winter', 'eisfelders', 'winterisches', 'coulon', 'einelobredefürdieabwechslung', 'krankensesseltrag', 'terungszeichen', 'wintermonaten']","['Es war den  Winterm.', 'Am  Winterm.', 'Den  Winterm.']"
302,301,32,301_card_hungarn_kartenplänen_karten,"['card', 'hungarn', 'kartenplänen', 'karten', 'gienge', 'collecipoli', 'spielkarten', 'javanischen', 'presbytero', 'pastore']","['Der Card.', 'Der Card.', 'Der Card.']"
303,302,32,302_griechen_religion_religions_pasquillantisch,"['griechen', 'religion', 'religions', 'pasquillantisch', 'boshaft', 'revisions', 'widrig', 'weiteres', 'ceremonies', 'religieuses']","['Keines von beyden kann bey solchen Stücken, die im hohen Grade Religions— Sitten— oder Staats widrig, oder pasquillantisch, ebrenrührisch und ossenbar boshaft sind, statt haben, als welche ohne Weiteres vom Revisions Amte zu vertilgen sind.', 'Keines von beyden kann bey solchen Stücken, die im hohen Grade Religions— Sitten— oder Staats widrig, oder pasquillantisch, ehrenrührisch und ossenbar boshaft sind, statt haben, als welche ohne Weiteres vom Revisions Amte zu pertilgen sind.', 'Und da die Zufriedenstellung der Nichtunirten Griechen und Dissidenten, schon einen Theil der Tractaten ausgemacht hat, welche itzt ent weder aufgehoben worden, oder der Ver änderung unterworfen sind; so wird es die Schuldigkeit der gedachten Gevollmächtig ten seyn, in den wesentlichen, unten in der Jnstruction beym  Artickel, ausgedrück ten Punkten, den herrschenden heiligen Rö mischkatholischen Glauben sicher zu stellen.']"
304,303,32,303_caffeehaus_durchhaus_haarbeutelgewölbe_schmeckenden,"['caffeehaus', 'durchhaus', 'haarbeutelgewölbe', 'schmeckenden', 'baugründe', 'lamm', 'bäckenstrasse', 'wurm', 'kaffeehaus', '143']","['Man hat sich deswegen in der obern Bäckenstrasse im Durchhaus zum schmeckenden Wurm im Haarbeutelgewölbe, und bey mir in der Leopoldstadt in weissen Lamm  143 in ersten Stock zu erkundigen.', 'Man hat sich deswegen in der obern Bäckenstrasse im Durchhaus zum schmeckenden Wurm im Haarbeutelgewölbe, und bey mir in der Leopoldstadt im weissen Lamm  143 im ersten Stock zu erkundigen.', 'Man hat sich deswegen in der obern Bäckenstrasse im Durchhaus zum schmeckenden Wurm im Haarbeutelgewölbe, und bey mir in der Leopoldstadt im weissen Lamm  143 im ersten Stock zu erkundigen.']"
305,304,32,304_sultan_böhmen_sultans_gross,"['sultan', 'böhmen', 'sultans', 'gross', 'sophi', 'esref', 'persien', 'thronfolger', 'caravanne', 'abgesetzte']","['Jndessen siehet man hier einen Brief welchen der Sultan Esref an den Gross Sultan geschrie den haben solle lautend wie folget: Sehr grosser und mächtigen Kaiser!', 'Aldieweilen der Printz Thamas des ent throneten Sophi Sohn die Bedingungen so ihm in dem zwischen der Porten und Reussen beschlossenen Tractat vorgeschlagen worden angenommen hat sich der Gross Sultan entschlossen ihn wiederum auf sei ner Vorfahren Thron zu helffen und den Sultan  Esref aus Persien zu jagen.', 'SEitdeme der neue Gross Sultan die vornehmste Urheber der jüng sten Empörung welche nach deme sie den vorigen Sultan von dem Thron und den jetzigen auf denselben gebracht sich ihres gebrauchten Gewalts wider den jetzigen Sultan selbsten bedie nen wollen um den Hals gebracht als ist nun in hiesiger Haupt Stadt alles wieder in erwünschter Ruhe.']"
306,305,32,305_wallis_prinzen_prinz_blattern,"['wallis', 'prinzen', 'prinz', 'blattern', 'printz', 'nes', 'getretten', 'lord', 'twed', 'cireular']","['Graf von Wallis Wenzl.', 'Wallis, Graf Philipp.', 'Michael Graf  Wallis, Obrister  Wallis.']"
307,306,32,306_convoc_widerspruch_welcher_,"['convoc', 'widerspruch', 'welcher', '', '', '', '', '', '', '']","['Convoc.', 'Convoc.', 'Convoc.']"
308,307,32,307_1658_licit_1659_1640,"['1658', 'licit', '1659', '1640', '1674', '16502', '1861', '1638', 'exregulamento', 'johahn']","['1658. in 9  Bänden.', '1658|| Licit.', '1658| Licit.']"
309,308,32,308_schneidermeist_schneiderm_schneiderns_schneider,"['schneidermeist', 'schneiderm', 'schneiderns', 'schneider', 'eulog', 'komptoir', 'zeitungs', 'pizeck', 'rumgaudy', 'reinthaller']","['Schneidermeist.', 'Schneidermeist.', 'Schneidermeist.']"
310,309,32,309_pol_ungarn_arcivescovo_eminenz,"['pol', 'ungarn', 'arcivescovo', 'eminenz', 'botschafter', 'kutschen', 'kinsky', 'di', 'preussen', 'abschieds']","['Heute ist Jhrer Hochmögenden deren Herren General Staaten der vereinigten Niderlanden Plenipoten Primarius, Herr Graff Rechtern Amelo, von hier wider nacher Ungarn zu Beylegung dasiger Unruhen abgereyst.', ""Heut hat der Kaiserlich auserordent liche Botschafter Herr Graf Kinsky seine Ankunft denen vornehmsten Her ren Cardinälen durch den Cavalier Herrn Franz von  Viteleschi, Rittern des  Johann von Jerusalem Orden und Cammermaistern von der während Kaiserlichen Botschaft bey dem Römischen Stul zuwissen machen lassen Welche Herren Cardinäl Dienstag den  Dito den Kaiserlichen Herrn Botschafter wegen gedachter Ankunft durch den Cammermaister des Herrn Cardinals Ursini wieder bewillkom men: und ihn auf das höflichst empfangen lassen; Darauf Mittwoch den  Dito der Kaiserliche Herr Botschafter von demS.Collegio mit gewöhnlicher Manier um sein erste Audienz die Ansuchung tuhn lassen; Welche dan auch für Morgigen Tag gegen  Uhr Römisches Zeigers nach geendig tem Scrutinio verwilliget worden; Zu dem Ende der Kaiserliche Herr Botschafter alle PrælatenPraelaten Ministern deren Fürsten wie auch die Römische Baronen dan die übrig Teutsch und Römische einheimisch und fremde Edelleuthe um den Kaiser lichen Herrn Botschafter mit ihren Wägen persönlich zu der Audienz zu begleiten dazu einladen lassen;Welches ich dann auch folgenden Donnerstag den  May bey demselben in grosser Meng eingefunden als denen er sogleich vielfältige Erfrischungen und allerhand stiessstiessund und kalte Wässer aus theilen lassen nachdem aber war in Bedienung Jhrer Eminenz des Herrn Cardinal Althan sammentlicher Hofstatt auch dero drey mit  Pferden bespant kostbaren Kutschen in Vorhertrettung mehr als  Laggeyen und Vorherfahrung einer beson dern Kutschen gegen  Uhr der Kaiserliche Herr Botschafter in seiner Kutschen gefahren bey sich habend  Erz Bischöffe und ein andern Bischoffenals  Monsignor Fra  Francesco Nicolai, Arcivescovo di Mira, é Vicarii della Basilica Vaticana &c, Vincenzo Petra, Arcivescovo di Damasco, Secretario de' Vescovi, e Regolari & Pietro Luigi Caraffa, Arcivescovo di Larissa, Secretario de Propaganda Fide & Thomaso Cervini, Arcivescovo di Nicomedia, Vicegerente & é Nicola Maria Tedeschi, Vescovo di Lipari., Secretario de Riti,edell'EsamedeVescovi Jn den andern zwey Kutschen aber waren die Herren Grafen als der Herr Bischof von  Terracina, Colonna di Borgo, Sylva, Strozzi, Cremona, Valdina, degl' Afflitti, Farsetti."", 'Minister Nuñez Peralta und Canillac Audi tores RotæRotae den Grafen Lagnask Pol nischen Minister den Grafen Riviera Sardinischen Minister den Grafen Porta Sicilianischen Minister den Mylord Tombara und noch andere vornehme Herren an der Zahl  Gä  Abends sahe man eben dieses Fe stins halber verschiedene Palläste deren Neapolitanischen Ministern und Un terthanen beleuchtet.| Aus Franckreich.| Aus dem Hafen von Orient   Man hat 1000.']"
311,310,32,310_holzinger_hofmann_schmied_georg,"['holzinger', 'hofmann', 'schmied', 'georg', 'anton', 'hoborka', 'holzschur', 'hörger', 'hortl', 'holzbey']","['Es wird verkauft bey Franz Holzinger, bürgerl.', 'Schmied meister, Lorenz Holzinger, zu erfahren | Wägen zu verkaufen.', 'Schmied meister, Lorenz Holzinger, zu erfahren  Wägen zu verkaufen.']"
312,311,31,311_lmprimatur_artikel_bedingung_erzogene,"['lmprimatur', 'artikel', 'bedingung', 'erzogene', 'gimnasien', 'geschwindern', 'visionsamte', 'ausgestrichenen', 'fehlerhaften', 'unbedingt']","['Es wünscht jemand gegen sehr billige Bedingung zwey oder drey wohl erzogene Studenten aufs Zim mer und in Kost zu nehmen, in einer nicht weit von beyden Gimnasien entlegenen Strasse; man erbietet sich zugleich die sittliche Erziehung dersel ben zu übernehmen.', 'Wenn über dergleichen Verzeich nisse das lmprimatur nicht unbedingt, son dern mit der Beschränkung omissisdeletis ertheilt wird, so sind dieselben vor gänzli cher Vollendung des Drucks bey dem Re visionsamte noch einmahl vorzulegen, da mit dasselbe sich von der geschehenen Weg lassung der ausgestrichenen Artikel überzeu gen, und das unbedingte lmprimatur bey setzen könne.', 'Wenn über dergleichen Verzeich nisse das Imprimatur nicht unbedingt, son dern mit der Beschränkung omissisdeletis ertheilt wird, so sind dieselben vor gänzli cher Vollendung des Drucks bey dem Re visionsamte noch einmahl vorzulegen, da mit dasselbe sich von der geschehenen Weg lassung der ausgestrichenen Artikel überzeu gen, und das unbedingte lmprimatur bey setzen könne.']"
313,312,31,312_auflage_verbesserte_editio_accurata,"['auflage', 'verbesserte', 'editio', 'accurata', 'originalauflage', 'neueste', '2te', 'edit', 'münztabelle', 'auctior']","['2te verbesserte Auflage.', '2te verbesserte Auflage.', 'Neue verbesserte Auflage.']"
314,313,31,313_1731_1746_wien_1730,"['1731', '1746', 'wien', '1730', '1741', '1732', '1747', '1734', 'bolog', '9ter']","['Wien 1746.', 'Wien 1746.', 'Wien 1746.']"
315,314,31,314_österr_öster_östl_nied,"['österr', 'öster', 'östl', 'nied', 'von', 'dem', 'der', '', '', '']","['österr.', 'österr.', 'österr.']"
316,315,31,315_pfänder_einkommenden_kundschaftsbogen_versetzt,"['pfänder', 'einkommenden', 'kundschaftsbogen', 'versetzt', 'versatzamte', 'unberichtigt', 'überlassen', 'verzeichniss', 'monat', 'gebrachte']","['Von dem   Versatzamte wird hiermit die Erinnerung gemacht: womit die allda im Monat Juli 1797 versetzt, und bis anher unberichtigt gelassene Pfänder um so gewisser bis den  des Monats October 1798 berichtiget, und in Sicher heit gestellet werden; als im widrigen derley Pfän der als verlassen angesehen, und in den folgenden Tagen, nämlich den  und  die Effekten dann den  und  October 1798 die Prätiosen pfänder in den gewöhnlichen Stunden Vormittag von 9 bis 12, und Nachmittag von 3 bis 6 Uhr durch öffentliche Versteigerung den Meistbietender käuflich werden überlassen werden.| Licit.', 'Von dem   Versatzamt wird hiemit kund gemacht, dass die im Monat März 1782 allda versetzt, und bis  Juni   nicht in behörige Richtigkeit ge brachte Pfänder als verlassen angesehen, und in den folgenden Tägen, als den 24 und  dieses Monats( vermög in dem Kundschaftsbogen hievon einkommenden inhaltlichen Verzeichniss) gewöhnlich aus gefeilet, und den Meistbietenden werden überlassen werden.| Feuerwerk.', 'Von dem   Versatzamt wird hiemit kund gemacht, dass die im Monat May 1785 al da versetzt, und bis  dies Monats August 1786 nicht in gehörige Richtigkeit gebrachte Pfänder als verlassen angesehen, und in den folgenden Tägen als den  und  dies, ( vermög des in dem Kundschaftsbogen hievon einkommenden inhaltlichen Verzeichniss) ge wöhnlich ausgefeilet, und dem Meistbietenden käuflich werden überlassen werden.| Licit Fritschische Fahrnisse.']"
317,316,31,316_1777_1778_aussenbleibungsfalle_commende,"['1777', '1778', 'aussenbleibungsfalle', 'commende', 'februar', 'red', 'lossen', 'gewärtigen', 'berkrain', 'bieberich']","['1777.', '1777.', '1777.']"
318,317,31,317_gen_anmerkun_genen_findliche,"['gen', 'anmerkun', 'genen', 'findliche', 'gene', 'empfan', 'gefan', 'churpfälzische', 'erbfolgern', 'gonvernement']","['Das sicherste Mittel diesen vorgeschla genen Zweck zu erreichen, ist, dass man denen Verwirrungen vorzubeugen trachte, welche dieser Absicht verhinderlich wer den könnten.', 'der hochgebohrne Graf von Balascha unterliessen nicht nur nicht, als Oberstudiendirektor allen diesen Prüfun gen unausgesetzt beyzuwohnen, sondern foderte auch in eigener Person viele der jenigen auf, welchen verschiedene Fra gen vorgelegt werden sollten.', 'Amtskanzley Man nerstorf einfinden und anmelden, wo im widri gen derselbe, oder dessen etwann angeehligte Ehegattinn samt deren erzeugten Erbfolgern pro mortuis gehalten, und die diesfällige allda be findliche Erbsforderung unter die eben allda be findliche nächste Befreundte nach Ausweiss der kais.']"
319,318,31,318_gerichtsordnung_erblande_richteramtshand_redoute,"['gerichtsordnung', 'erblande', 'richteramtshand', 'redoute', 'advocat', 'gerichtsadvokaten', 'übertragen', 'gerichtlichen', 'judicii', 'ausgeführet']","['Erblande bestimmten Gerichtsordnung aus geführet.', 'Richter Hand wird eine neue redoute zu  defendirung der redoute und des crochets des ganz neu angeleget und verfertiget und endlich an erhöhung und erweiterung der communication von dem  retrenchement, gegen der parallele zu fortgese tzet.', 'Erblande bestimmten Gerichtsordnung aus geführet, und entschieden werden wird.']"
320,319,31,319_juny_maesstrom_freptag_18ten,"['juny', 'maesstrom', 'freptag', '18ten', 'neapel', 'nats', 'maynstrom', 'mailand', 'diess', 'mo']","['DEn  Juny.', 'Den  Juny.', 'Aus  von dem  Juny.']"
321,320,31,320_hungarn_haag_holland_niederlande,"['hungarn', 'haag', 'holland', 'niederlande', 'staaten', 'convention', 'westfriesland', 'niederlanden', 'proponiren', 'amsterdam']","['Als am   der General, Graf Maillebois, zum Gouverneur von Bre da wirklich angestellet worden ist, hat die Provinz Holland erkläret, dass sie das Recht zu den Gouvernements zu er nennen, welches der Prinz Erbstatthal ter sich vorbehalten zu können glaubet, nicht für entschieden erkenne, bis in der aufferordentlichen Versammlung der U nion darüber eine Untersuchung angestellt, und irgend etwas festgesetzet seyn wird.— Dennoch heisst es nun allgemein, dass der Erbstatthalter ehestens wieder nach dem Haag zurückkommen werde, und wirklich trift man im Pallaste dieses Prin zen solche Vorkehrungen, die das Ge rücht wahrscheinlich machen.', 'Majestät ob, für Dero zuständige Lande zu sorgen: Jedoch ist ein der vornehmsten Beweg gründen ge wesen, welcher Jhro Majestät, wie auch die Kaiserin, Königin von Hungarn und Bö heim zu dem Entschluss bewogen der OesterOesterreichischen reichischen Niederlande Neutralität ausdrücklich zu bedingen, denen vereinigten Nieder landen für Dero Staaten und Nachbarschaft die Sicherheit, so Sie nicht ohne Ursache so sehr verlangten, zu verschaffen.', 'Was die Oesterreichische Niederlande betrift, so wie derholten Jhro Majestät gegen die vereinigten Niederlande ganz geneigt, diejenige Ver sicherungen, welche Dieselbe der Kaiserin, Königin von Hungarn und Böheim desfals durch eine Neutralitäts convention, welche den 1sten May zu Versailles unterzeichnet, und Jhro Hochmögenden abschriftlich mitge theilet worden, albereits gegeben haben.']"
322,321,31,321_stiftsgrundbuch_diesseitigen_gedenken_baarer,"['stiftsgrundbuch', 'diesseitigen', 'gedenken', 'baarer', 'obbemeldten', 'behausung', 'früh', 'bezahlung', 'meistbietenden', 'aufkün']","['Daher haben die Lieb haber sothaner Behausung an obbemeldten Tag früh um 9 Uhr für diesseitigen Stiftsgrundbuch zu erscheinen, wo selbe sodann dem Meistbie tenden gegen baare Bezahlung hindangegeben werden soll.', 'Dahero werden die Liebhabere sothanen Hauses an obbemeldten Tag frühe um  Uhr zur Behand lung desselben bey diesseitigen Stiftsgrundbuch zu erscheinen haben, wo es dem Meistbietenden, in dessen Abgang aber dem klagenden Christoph Gass ner um den Schätzungswerth überlassen werden solle.', 'Daher haben die Lieb haber sothaner Behausung an obbemeldten Tag früh um 9 Uhr für diesseitigen Stiftsgrundbuch zu erscheinen, wo sodann dem Meistbietenden selbe gegen baare Bezahlung käuflich überlassen werden soll.']"
323,322,31,322_audienz_publikum_zuschauer_publik,"['audienz', 'publikum', 'zuschauer', 'publik', 'stärke', 'vorei', 'spezialrevüe', 'allerdemütigste', 'vorgearbeitet', 'umarmung']","['Thurn und Taxischen Hof facto, Löser Leiter und Moyses Benedict Beyfuss,eineallergnädigsteöffentliche Audienz zu ertheilen, und ihre gewönliche allerdemütigste Geschenke allergnädigst anzu nehmen.| Kurz gefasste Nachrichten.', 'Daher dem hochverehrlichsten Publik in ein solches zu dem Ende hiemit kund gemacht wird, damit sich jedermann vor Schaden und Nachtheil um so mehr wahrnen, und hüten möge, als auf dem Fall eines, wie immer Namen haben mögenden Geld oder Waarengeschäftes und a Conto Schreib und Ausborgung, so von dem  Grafen Joseph Wenzel zu Würben gesucht, oder selbst gemachet, oder von jemanden, wie bisher vielfältig geschehen ist, durch die 3te und 4te Hand zum äussersten Schaden des  Gra fens freyerdings und unnachlässig angetragen worden, der unbeschränkte Administrator Edler  Windberg die gerichtl.', 'Der häufige Zuspruch, womit das verehrungs würdige Publikum uns im verflossenen Jahre be ehret hat, und wiederholte neue Anfragen lassen uns hoffen, dass wir auch in gegenwärtigem Jah re uns dieses Beyfalls werden erfreuen dürfen, da wir nicht nur allen während des Winters das Sortiments von Angelruthen, Angelschnüren, Wurf schnüren, Ködern, künstlichen Jnsecten  ansehnlich vermehret, sondern auch alle diese Artikel in verschiedenen Preisen vorgearbeitet haben, um den Liebhabern der Angelfischerey den Ankauf so viel möglich zu erleichtern.']"
324,323,31,323_frieden_amerika_friedens_nation,"['frieden', 'amerika', 'friedens', 'nation', 'friede', 'nationen', 'unsere', 'erwecken', 'unterbrochen', 'amerikaner']","['sie haben sich bey den unversehe nen Augenblicken einer zügellosen Lei denschaft, von einer tugendhaften Leicht gläubigkeit hintergehen lassen, dass sie ihre glückseligkeit hintan setzen, um ei ner Nation zu dienen, die weder den Willen, noch die Macht hat, uns zu schützen, und deren Hauptabsicht dahin gehet, sowohl das Mutterreich, als sei ne Provinzen zu ruiniren.', 'Die Absicht der Unterhandlungen der obengedachten Gevollmächtigten, soll seyn: Der gegenwärtigen innerlichen Noth und Bedrückungen ein Ende zu machen, wie auch, so viel Menschenmöglich, künftigen vorzubeugen; die fremden Truppen aus den Ländern der Republik zu bringen; sie in nerlich sicher zu stellen; bey welchem allen sie sich vorsehen sollen, dass der Republick so wenig, als möglich, Unrecht oder Nach theil zuwachsen möge: Endlich sollen sie die Reichthümer derselben durch Versicherung des Handels, und der dahin einschlagenden Materien, zu vermehren suchen.', 'Es wurde aber bemerket, dass ein so wich tiger Punkt reiflich erwogen werden, und man sich nicht so unbedachtsam über eilen müsste, die starken Verbindlichkei ten, welche die Natur zwischen Nord amerika und den westindischen Jnsuln angelegt hat, seyn einer Seits zu über denken, und anderer Seits müssten sie, als Handelsleute und Pflänzer, sich nach der sanften Rückkehre des Friedens se hen, und alles vermeiden, so die Ge müther noch mehr aufbringen könnte.']"
325,324,31,324_licht_lampen_lampe_lichter,"['licht', 'lampen', 'lampe', 'lichter', 'nachtlichter', 'beleuchtet', 'augen', 'krystallfeuer', 'schwaches', 'herumspatziren']","['Ueber diese Lampe ist ein Schiran befindlich, der vorzüglich zur Conservation der Augen, zur Zusammenhaltung der Lichtstralen, und also zur stärkern Erleuchtung des Tisches, an dem man schreiben, lesen, nähen, oder andere Beschäftigungen vornehmen will, an gebracht werden kann.', 'Viele Personen finden sich an ihren Au gen beschweret, wenn sie in Gesellschaften in brennende Lichter sehen müssen, auch wenn sie allein sind, und lesen oder schreiben wol len, und auf Reisen, wo sie nicht allemal die Bequemlichkeit der Lichtschirme haben können, diesen zum Nutzen macht man hier durch eine sehr artige Jnvention von Licht schirmen bekannt, welche von der Stärke eines Briefes gemächlich bey sich getragen werden können, das Stück wird zu zwey  verkauft.| Oekonomische Lampen.', 'Viele Personen finden sich an ihren Au gen beschweret, wenn sie in Gesellschaften in brennende Lichter sehen müssen, auch wenn sie allein sind, und lesen oder schreiben wol len, und auf Reisen wo sie nicht allemal die Bequemlichkeit der Lichtschirme haben können, diesen zum Nutzen macht man hier durch eine sehr artige Jnvention von Licht schirmen bekannt, welche von der Stärke eines Briefes gemächlich bey sich getragen werden können, das Stück wird zu zwey  verkauft.| Oekonomische Lampen.']"
326,325,30,325_1781_georgizeit_anfangend_künftige,"['1781', 'georgizeit', 'anfangend', 'künftige', 'nacheinander', 'authoristirte', 'schiffkapitains', 'aymar', 'wintermo', 'vrginien']","['1781.', '1781.', '1781.']"
